y_true,y_pred_proba
0.0,0.617309
0.0,0.24592431
1.0,0.29266044
0.0,0.030836357
0.0,0.4363471
0.0,0.6197397
1.0,0.71098137
0.0,0.09003302
0.0,0.051509712
1.0,0.7399133
0.0,0.5866011
1.0,0.7094641
1.0,0.6576838
1.0,0.8058057
0.0,0.027019383
0.0,0.01994967
1.0,0.6956466
0.0,0.28290564
0.0,0.024499677
1.0,0.38408473
0.0,0.5936127
0.0,0.015651023
0.0,0.24028167
1.0,0.5874146
1.0,0.7058439
0.0,0.6412482
1.0,0.66930836
1.0,0.70121956
1.0,0.74931115
0.0,0.05255487
0.0,0.69679576
0.0,0.5901291
0.0,0.011306997
0.0,0.06741025
0.0,0.19592087
1.0,0.55462074
0.0,0.097024456
0.0,0.47517768
0.0,0.15116201
1.0,0.63212293
1.0,0.6516043
1.0,0.63844293
1.0,0.37041906
1.0,0.62136805
1.0,0.61620617
0.0,0.33953282
0.0,0.10979227
0.0,0.3769171
1.0,0.567764
1.0,0.69506586
1.0,0.6094056
1.0,0.7684076
0.0,0.34814483
0.0,0.32713273
0.0,0.04352419
0.0,0.19773223
1.0,0.44972032
1.0,0.58264464
0.0,0.2094534
0.0,0.5039246
0.0,0.30606773
0.0,0.12876886
1.0,0.63073796
1.0,0.3618335
1.0,0.7043886
0.0,0.68874407
1.0,0.3816539
0.0,0.5602366
0.0,0.61432403
1.0,0.81074417
1.0,0.29453704
1.0,0.62582517
0.0,0.112418935
0.0,0.27771416
1.0,0.75430596
1.0,0.6484167
1.0,0.65616435
1.0,0.6792196
0.0,0.28153333
0.0,0.5892975
1.0,0.4532848
0.0,0.5385598
0.0,0.049799696
1.0,0.64487445
1.0,0.59305507
0.0,0.6603403
1.0,0.6662069
0.0,0.32063746
1.0,0.6659623
1.0,0.6353197
0.0,0.5598071
1.0,0.77228814
1.0,0.58780396
1.0,0.6343274
1.0,0.1857047
1.0,0.65005744
0.0,0.44205
1.0,0.7274237
0.0,0.04987196
0.0,0.5570014
0.0,0.14800057
1.0,0.70520246
0.0,0.08409433
0.0,0.72013044
1.0,0.78811777
1.0,0.69818586
0.0,0.26605415
1.0,0.5741193
1.0,0.5826689
0.0,0.31295064
1.0,0.41980967
1.0,0.6336728
1.0,0.4201238
1.0,0.35786065
0.0,0.4370249
0.0,0.30735454
1.0,0.6456364
0.0,0.1420179
0.0,0.06733338
1.0,0.65689313
1.0,0.56202745
1.0,0.4605101
1.0,0.6751408
0.0,0.35586607
0.0,0.015339032
0.0,0.3558158
1.0,0.47859827
1.0,0.59590703
1.0,0.50256795
0.0,0.24447215
1.0,0.5906806
0.0,0.43711388
0.0,0.32104188
1.0,0.7702076
1.0,0.2873475
0.0,0.4424867
1.0,0.39478353
0.0,0.12944455
1.0,0.0795019
1.0,0.6337824
1.0,0.6637841
0.0,0.6200545
0.0,0.3433409
1.0,0.71756077
0.0,0.5847745
0.0,0.6964412
0.0,0.6534387
0.0,0.5168723
0.0,0.6471494
1.0,0.30536795
0.0,0.3869579
0.0,0.59161246
0.0,0.15482973
1.0,0.6784558
1.0,0.6560757
1.0,0.63547456
1.0,0.3585072
1.0,0.72343147
1.0,0.60185915
0.0,0.5768212
0.0,0.6071333
0.0,0.5767557
0.0,0.51620054
1.0,0.5807426
0.0,0.6906683
0.0,0.31571445
1.0,0.6277676
0.0,0.46634933
1.0,0.48987833
0.0,0.1305079
1.0,0.67936176
0.0,0.0342484
1.0,0.6671403
1.0,0.7300238
1.0,0.2116831
0.0,0.5639492
0.0,0.095899194
1.0,0.5555115
0.0,0.42263827
0.0,0.59694517
1.0,0.75214475
1.0,0.6135255
1.0,0.59844005
0.0,0.4868572
0.0,0.1425907
1.0,0.20366576
1.0,0.64990085
1.0,0.70285225
0.0,0.12827483
0.0,0.727638
0.0,0.29086438
1.0,0.5789403
0.0,0.38528335
1.0,0.61574143
0.0,0.33481497
0.0,0.6176341
1.0,0.65502095
1.0,0.63935333
0.0,0.11716059
1.0,0.681686
