y_true,y_pred_proba
0.0,0.3872264
0.0,0.5628888
0.0,0.07432254
1.0,0.67254484
0.0,0.15287295
0.0,0.04024655
0.0,0.02514479
0.0,0.50710493
1.0,0.88823485
1.0,0.75982404
1.0,0.51752824
1.0,0.7801506
0.0,0.071019426
1.0,0.8129572
0.0,0.40324783
0.0,0.5739105
1.0,0.8361675
0.0,0.35669908
1.0,0.47270617
0.0,0.14340745
1.0,0.80978787
0.0,0.38013473
0.0,0.22684917
0.0,0.68286824
1.0,0.6645769
1.0,0.75542575
0.0,0.57692975
1.0,0.66454357
1.0,0.6790726
1.0,0.8152906
1.0,0.90073353
0.0,0.03745314
0.0,0.42024222
1.0,0.6680212
1.0,0.7826342
1.0,0.815587
0.0,0.28420964
1.0,0.47720364
1.0,0.6933741
0.0,0.15872307
1.0,0.7091172
1.0,0.6195031
1.0,0.48951358
1.0,0.7523228
0.0,0.20507328
0.0,0.57761455
1.0,0.72154135
1.0,0.80999047
0.0,0.28079796
0.0,0.015351813
1.0,0.8519247
0.0,0.32556617
1.0,0.6460213
1.0,0.7693719
1.0,0.77475667
0.0,0.043922015
0.0,0.4942908
0.0,0.39760876
0.0,0.34059948
1.0,0.74364877
1.0,0.73254734
1.0,0.8241422
1.0,0.7062467
0.0,0.23400371
0.0,0.22395052
0.0,0.03439976
1.0,0.77476317
0.0,0.42028555
0.0,0.07882588
0.0,0.63093174
1.0,0.42353502
1.0,0.3587034
1.0,0.8178227
0.0,0.53720975
0.0,0.62450135
0.0,0.26477805
0.0,0.06826784
1.0,0.7898749
1.0,0.74584305
1.0,0.77737415
1.0,0.8752356
0.0,0.2474671
0.0,0.46375674
1.0,0.83080935
1.0,0.26691553
1.0,0.80567765
1.0,0.82006025
1.0,0.40860093
1.0,0.84315586
0.0,0.18831164
1.0,0.7318629
1.0,0.90601707
1.0,0.77221745
0.0,0.11923905
1.0,0.85471994
1.0,0.85167944
1.0,0.18674874
0.0,0.7153932
0.0,0.6371001
1.0,0.7949068
0.0,0.4382086
1.0,0.6600562
0.0,0.37821633
1.0,0.761538
1.0,0.76228637
1.0,0.44920546
1.0,0.8403324
0.0,0.08874838
1.0,0.6692053
0.0,0.18148656
0.0,0.13753721
0.0,0.07743264
0.0,0.016627418
0.0,0.56057864
1.0,0.7706788
0.0,0.20810993
0.0,0.14173555
1.0,0.8861164
0.0,0.5688756
0.0,0.26379314
1.0,0.58756346
0.0,0.20530336
0.0,0.023345403
0.0,0.60108364
1.0,0.6953396
0.0,0.26447162
1.0,0.473333
0.0,0.5260963
1.0,0.8614384
0.0,0.77957773
0.0,0.3945255
1.0,0.7489963
1.0,0.6565675
0.0,0.749564
0.0,0.09499631
0.0,0.33598298
0.0,0.3531393
1.0,0.80919796
1.0,0.80526775
1.0,0.9023489
0.0,0.27947664
0.0,0.043965284
0.0,0.32062215
0.0,0.016097127
1.0,0.7027581
1.0,0.7709961
0.0,0.26889443
0.0,0.0925218
1.0,0.6761808
0.0,0.22207788
0.0,0.6042261
0.0,0.37401083
1.0,0.66609854
0.0,0.55442685
1.0,0.8484508
1.0,0.36407334
1.0,0.862018
1.0,0.8680988
0.0,0.3687967
1.0,0.8477997
0.0,0.056675024
1.0,0.7202569
0.0,0.69638085
0.0,0.12382899
0.0,0.0017640681
0.0,0.65181106
0.0,0.41087544
0.0,0.042303775
1.0,0.8561964
0.0,0.02294303
1.0,0.73903644
1.0,0.69875145
0.0,0.049639996
1.0,0.7281869
1.0,0.6084486
0.0,0.17777832
0.0,0.39047453
1.0,0.82227206
1.0,0.8782342
0.0,0.4677831
0.0,0.0029576467
1.0,0.77724075
0.0,0.42725185
1.0,0.8842889
1.0,0.53335774
1.0,0.43198425
0.0,0.27654955
1.0,0.8284878
0.0,0.42317432
0.0,0.08554093
1.0,0.79180354
1.0,0.75921595
0.0,0.39531627
0.0,0.19021028
0.0,0.014372255
1.0,0.5412442
1.0,0.7252062
0.0,0.10670176
0.0,0.25494173
1.0,0.84753585
0.0,0.6256098
1.0,0.6565801
0.0,0.46701992
1.0,0.7722776
1.0,0.7634868
1.0,0.40754965
0.0,0.72754276
1.0,0.8927517
1.0,0.62086296
0.0,0.44723633
0.0,0.12119731
0.0,0.70465267
1.0,0.63924384
1.0,0.7838476
1.0,0.8500613
0.0,0.14684759
1.0,0.46652102
0.0,0.18135679
0.0,0.4596881
1.0,0.40762165
1.0,0.4689852
1.0,0.6107814
0.0,0.5800807
1.0,0.7727767
1.0,0.6662891
1.0,0.7989079
1.0,0.800694
0.0,0.7065104
1.0,0.84436625
1.0,0.86410654
1.0,0.7440629
0.0,0.52864045
0.0,0.26935473
